id,country,birth,region,death,GDP,yearGDP
223,Japan                                              ,7.7,Asia,9.8,42900.00,2017
160,Jersey                                             ,12.4,Europe,7.8,56600.00,2016
58,Jordan                                             ,23.9,Asia,3.4,9200.00,2017
98,Kazakhstan                                         ,18.1,Asia,8.1,26300.00,2017
59,Kenya                                              ,23.9,Africa,6.7,3500.00,2017
76,Kiribati                                           ,21.2,Oceania,7,2000.00,2017
132,"Korea, North                                       ",14.6,Asia,9.3,1700.00,2015
220,"Korea, South                                       ",8.3,Asia,6,39500.00,2017
84,Kuwait                                             ,19.2,Asia,2.2,65800.00,2017
72,Kyrgyzstan                                         ,22.1,Asia,6.5,3700.00,2017
63,Laos                                               ,23.6,Asia,7.4,7400.00,2017
198,Latvia                                             ,9.7,Europe,14.5,27700.00,2017
135,Lebanon                                            ,14.3,Asia,5,19600.00,2017
50,Lesotho                                            ,24.6,Africa,15,3300.00,2017
10,Liberia                                            ,38.3,Africa,7.6,1300.00,2017
106,Libya                                              ,17.5,Africa,3.6,9600.00,2017
188,Liechtenstein                                      ,10.4,Europe,7.4,139100.00,2009
195,Lithuania                                          ,9.9,Europe,14.6,32400.00,2017
170,Luxembourg                                         ,11.5,Europe,7.3,105100.00,2017
216,Macau                                              ,8.6,Asia,4.5,110000.00,2017
172,Macedonia                                          ,11.4,Europe,9.2,14900.00,2017
33,Madagascar                                         ,31.6,Africa,6.5,1600.00,2017
8,Malawi                                             ,41,Africa,7.9,1200.00,2017
85,Malaysia                                           ,19.1,Asia,5.1,29100.00,2017
115,Maldives                                           ,16.1,Asia,4,19200.00,2017
3,Mali                                               ,43.9,Africa,9.8,2200.00,2017
192,Malta                                              ,10.1,Europe,9.4,41900.00,2017
51,Marshall Islands                                   ,24.4,Oceania,4.2,3600.00,2017
38,Mauritania                                         ,30.4,Africa,7.9,4500.00,2017
153,Mauritius                                          ,13,Africa,7.1,22300.00,2017
94,Mexico                                             ,18.3,America,5.3,19900.00,2017
80,"Micronesia, Federated States of                    ",20,Oceania,4.2,3400.00,2017
171,Moldova                                            ,11.5,Europe,12.6,6700.00,2017
226,Monaco                                             ,6.6,Europe,9.8,115700.00,2015
88,Mongolia                                           ,18.9,Europe,6.3,13000.00,2017
194,Montenegro                                         ,10,Europe,9.7,17800.00,2017
183,Montserrat                                         ,10.8,America,6.2,34000.00,2011
105,Morocco                                            ,17.7,Africa,4.9,8600.00,2017
11,Mozambique                                         ,38.1,Africa,11.6,1300.00,2017
46,Namibia                                            ,27.3,Africa,7.9,11200.00,2017
56,Nauru                                              ,24,Oceania,5.9,12300.00,2017
83,Nepal                                              ,19.5,Africa,5.6,2700.00,2017
182,Netherlands                                        ,10.9,Europe,8.9,53900.00,2017
129,New Caledonia                                      ,15,Oceania,5.7,31100.00,2015
150,New Zealand                                        ,13.2,Oceania,7.5,39000.00,2017
104,Nicaragua                                          ,17.7,Africa,5.1,5900.00,2017
13,Nigeria                                            ,36.9,Africa,12.4,5900.00,2017
130,Northern Mariana Islands                           ,15,Oceania,4.8,24500.00,2016
164,Norway                                             ,12.2,Europe,8.1,72100.00,2017
54,Oman                                               ,24,Asia,3.3,46000.00,2017
74,Pakistan                                           ,21.9,Asia,6.3,5400.00,2017
174,Palau                                              ,11.3,Oceania,8.1,14700.00,2017
100,Panama                                             ,17.9,America,4.9,25400.00,2017
60,Papua New Guinea                                   ,23.7,Oceania,6.6,3700.00,2017
111,Paraguay                                           ,16.6,America,4.8,12800.00,2017
103,Peru                                               ,17.8,America,6.1,13500.00,2017
61,Philippines                                        ,23.7,Asia,6.1,8400.00,2017
202,Poland                                             ,9.5,Europe,10.4,29600.00,2017
207,Portugal                                           ,9,Europe,11.1,30500.00,2017
222,Puerto Rico                                        ,8.1,America,8.6,39400.00,2017
199,Qatar                                              ,9.6,Asia,1.5,124100.00,2017
209,Romania                                            ,8.9,Europe,12,24600.00,2017
178,Russia                                             ,11,Asia,13.5,27900.00,2017
35,Rwanda                                             ,30.7,Africa,6.4,2100.00,2017
200,"Saint Helena, Ascension, and Tristan da Cunha      ",9.6,Africa,7.8,7800.00,2017
147,Saint Kitts and Nevis                              ,13.2,America,7.1,28200.00,2017
144,Saint Lucia                                        ,13.3,America,7.7,14400.00,2017
225,Saint Pierre and Miquelon                          ,7.1,America,9.9,46200.00,2006
146,Saint Vincent and the Grenadines                   ,13.2,America,7.3,11500.00,2017
77,Samoa                                              ,20.4,Oceania,5.3,5700.00,2017
217,San Marino                                         ,8.6,Europe,8.7,59000.00,2017
31,Sao Tome and Principe                              ,32.4,Africa,6.8,3200.00,2017
93,Saudi Arabia                                       ,18.3,Asia,3.4,54500.00,2017
28,Senegal                                            ,33.4,Africa,8.1,3500.00,2017
206,Serbia                                             ,9,Europe,13.6,15100.00,2017
142,Seychelles                                         ,13.7,Africa,7,29300.00,2017
15,Sierra Leone                                       ,36.3,Africa,10.4,1600.00,2017
214,Singapore                                          ,8.6,Asia,3.5,94100.00,2017
151,Sint Maarten                                       ,13.1,America,5.2,66800.00,2014
197,Slovakia                                           ,9.7,Europe,9.9,33100.00,2017
221,Slovenia                                           ,8.2,Europe,11.6,34500.00,2017
49,Solomon Islands                                    ,24.9,Oceania,3.8,2200.00,2017
9,Somalia                                            ,39.6,Africa,13.1,499.82,2017
78,South Africa                                       ,20.2,Africa,9.4,13600.00,2017
18,South Sudan                                        ,35.5,Africa,7.7,1600.00,2017
204,Spain                                              ,9.2,Europe,9.1,38400.00,2017
126,Sri Lanka                                          ,15.2,Asia,6.2,12900.00,2017
44,Sudan                                              ,27.9,Africa,7.3,4300.00,2017
117,Suriname                                           ,15.8,America,6.1,14900.00,2017
55,Swaziland                                          ,24,Africa,13.2,3224.00,2017
167,Sweden                                             ,12.1,Europe,9.4,51200.00,2017
187,Switzerland                                        ,10.5,Europe,8.3,62100.00,2017
75,Syria                                              ,21.2,Asia,4,2900.00,2015
219,Taiwan                                             ,8.3,Asia,7.4,50500.00,2017
65,Tajikistan                                         ,23.3,Asia,6,3200.00,2017
16,Tanzania                                           ,35.6,Africa,7.6,3200.00,2017
179,Thailand                                           ,11,Asia,8,17900.00,2017
27,Timor-Leste                                        ,33.4,Asia,5.9,6000.00,2017
29,Togo                                               ,33.3,Africa,6.9,1700.00,2017
70,Tonga                                              ,22.2,Africa,4.9,5900.00,2017
156,Trinidad and Tobago                                ,12.7,Africa,8.8,31300.00,2017
95,Tunisia                                            ,18.2,Africa,6.3,11900.00,2017
119,Turkey                                             ,15.7,Asia,6,27000.00,2017
86,Turkmenistan                                       ,19.1,Asia,6.1,18200.00,2017
124,Turks and Caicos Islands                           ,15.3,America,3.2,29100.00,2007
62,Tuvalu                                             ,23.7,Oceania,8.5,3800.00,2017
4,Uganda                                             ,42.9,Africa,10.2,2400.00,2017
189,Ukraine                                            ,10.3,Europe,14.4,8800.00,2017
128,United Arab Emirates                               ,15.1,Africa,1.9,68600.00,2017
166,United Kingdom                                     ,12.1,Europe,9.4,44300.00,2017
158,United States                                      ,12.5,America,8.2,59800.00,2017
152,Uruguay                                            ,13,America,9.4,22400.00,2017
109,Uzbekistan                                         ,16.8,Asia,5.3,6900.00,2017
57,Vanuatu                                            ,24,Oceania,4,2700.00,2017
90,Venezuela                                          ,18.8,America,5.3,12500.00,2017
122,Vietnam                                            ,15.5,Asia,5.9,6900.00,2017
155,Virgin Islands                                     ,12.8,America,7.8,37000.00,2016
148,Wallis and Futuna                                  ,13.2,Oceania,5.4,3800.00,2004
47,West Bank                                          ,26.3,Asia,3.5,4300.00,2014
42,Western Sahara                                     ,29.3,Africa,8.1,2500.00,2007
43,Yemen                                              ,28.4,Asia,6,2500.00,2017
5,Zambia                                             ,41.5,Africa,12.2,4000.00,2017
25,Zimbabwe                                           ,34.2,Africa,10.2,2300.00,2017
