country,birth,death,code,region,lat,long,id
Maldives,22,3.5,MDV,Asia,3.25,73,83
Mali,47.1,11.2,MLI,Africa,17,-4,2
Malta,9.2,7.5,MLT,Europe,35.8333,14.5833,197
Marshall Islands,27.2,6.6,MHL,Oceania,9,168,56
Mauritania,34.1,7.8,MRT,Africa,20,-12,37
Mauritius,11.5,7.4,MUS,Africa,-20.2833,57.55,164
Mexico,18.4,5.3,MEX,America,23,-102,111
Micronesia (Federated States of),23.5,6.1,FSM,Oceania,6.9167,158.25,76
Moldova,12.1,12.61,MDA,Europe,47,29,157
Monaco,6.8,8.7,MCO,Europe,43.7333,7.4,206
Mongolia,22.7,6.7,PRK,Asia,46,105,80
Montenegro,11.6,9.5,MNE,Europe,42,19,162
Morocco,22.7,6.4,MAR,Africa,32,-5,81
Mozambique,38.9,11.8,MOZ,Africa,-18.25,35,16
Myanmar,17.2,8.4,MMR,Asia,22,98,118
Namibia,26,5.7,NAM,Africa,-22,17,63
Nauru,26.4,3.5,ZMB,Oceania,-0.5333,166.9167,61
Nepal,21,6.6,NPL,Africa,28,84,86
Netherlands,10.7,8.3,NLD,Europe,52.5,5.75,178
New Caledonia,5.2,5.2,NCL,Oceania,-21.631074,165.983953,207
New Zealand,13.8,6.3,NZL,Oceania,-41,174,143
Nicaragua,22.7,4.8,NIC,Africa,13,-85,82
Niger,49.7,10.2,NER,Africa,16,8,1
Nigeria,41.2,11.9,NGA,Africa,10,8,12
Niue,30.1,5.9,NIU,Oceania,-19.0333,-169.8667,51
North Korea,14.4,9.6,PRK,Asia,40,127,141
Northern Cyprus,15,8,NCP,Europe,35,34,133
Norway,12.4,8.1,NOR,Europe,62,10,153
Oman,20.9,2.8,OMN,Asia,21,57,87
Pakistan,25.2,7.3,PAK,Asia,30,70,69
Palau,10.9,5.9,HND,Oceania,7.5,134.5,175
Panama,19.4,5,PAN,America,9,-80,105
Papua New Guinea,28.9,7.7,PNG,Oceania,-6,147,53
Paraguay,23.7,4.8,PRY,America,-23,-58,73
Peru,19.7,4.4,PER,America,-10,-76,103
Philippines,24.4,5.9,PHL,Asia,13,122,70
Poland,10.8,10,POL,Europe,52,20,176
Portugal,8.7,9.1,PRT,Europe,39.5,-8,201
Puerto Rico,8.1,8.1,PRI,America,18.288698,-66.421804,205
Qatar,11,1.3,QAT,Asia,25.5,51.25,172
Republic of Serbia,9.7,5.5,SRB,Europe,44,21,190
Republic of the Congo,37.6,8.12,COG,Africa,-1,15,18
Romania,10.3,11.8,ROU,Europe,46,25,184
Russia,11.8,14.8,RUS,Asia,60,100,159
Rwanda,35.2,6.4,RWA,Africa,-2,30,32
Saint Kitts and Nevis,13.8,8.5,KNA,America,17.3333,-62.75,144
Saint Lucia,15.4,7,LCA,America,13.8833,-61.1333,129
Saint Vincent and the Grenadines,16.3,6.5,VCT,America,13.25,-61.2,124
Samoa,26.2,5.2,WSM,Oceania,-13.5833,-172.3333,62
San Marino,8.8,10.2,SMR,Europe,43.7667,12.4167,200
Sao Tome and Principe,33.9,6.5,STP,Africa,1,7,38
Saudi Arabia,19.4,3.2,SAU,Asia,25,45,106
Senegal,37.7,7,SEN,Africa,14,-14,17
Seychelles,16.6,6.7,SYC,Africa,-4.5833,55.6667,122
Sierra Leone,36.6,16.8,SLE,Africa,8.5,-11.5,24
Singapore,9.9,4.5,SGP,Asia,1.3667,103.8,188
Slovakia,10.7,9.4,SVK,Europe,48.6667,19.5,179
Slovenia,10,9.1,SVN,Europe,46,15,186
Solomon Islands,30.8,5.4,SLB,Oceania,-8,159,50
Somalia,43.8,12.7,SOM,Africa,10,49,6
South Africa,20.9,11.1,ZAF,Africa,-29,24,88
South Korea,9.6,6.5,KOR,Asia,37,127.5,192
South Sudan,36.1,11.1,SSD,Africa,7.010777,30.90605,27
Spain,10.4,8.2,ESP,Europe,40,-4,182
Sri Lanka,17.9,6.6,LKA,Asia,7,81,113
Sudan,33.5,7.8,SDN,Africa,15,30,39
Suriname,17.7,4.6,SUR,America,4,-56,117
Swaziland,29.9,13.95,SWZ,Africa,-26.5,31.5,52
Sweden,12,9.6,SWE,Europe,62,15,158
Switzerland,10.4,7.7,CHE,Europe,47,8,183
Syria,24,3.5,SYR,Asia,35,38,72
Taiwan,8.3,6.83,TWN,Asia,23.803823,120.818543,204
Tajikistan,33,6,TJK,Asia,39,71,41
Thailand,10.2,7.6,THA,Asia,15,100,185
The Bahamas,15.3,6.1,BHS,America,24.25,-76,130
Togo,36.4,9.6,TGO,Africa,8,1.1667,26
Tonga,25.5,6.7,TON,Africa,-20,-175,68
Trinidad and Tobago,14.5,9.6,TTO,Africa,11,-61,138
Tunisia,17.2,5.5,TUN,Africa,34,9,119
Turkey,16.8,5.7,TUR,Asia,39,35,121
Turkmenistan,21.3,8.8,TKM,Asia,40,60,85
Tuvalu,23.6,8.7,TUV,Oceania,-8,178,75
Uganda,43.2,9.2,UGA,Africa,1,32,7
Ukraine,10.8,15.1,UKR,Europe,49,32,177
United Arab Emirates,14.5,1.1,ARE,Asia,24,54,139
United Kingdom,12.2,8.9,GBR,Europe,54,-2,156
United Republic of Tanzania,39.2,7.8,TZA,Africa,-6,35,15
United States of America,13.2,8.4,USA,America,38,-97,150
Uruguay,14.5,9.1,URY,America,-33,-56,140
Uzbekistan,21.5,6.4,UZB,Asia,41,64,84
Vanuatu,26.6,4.5,VUT,Oceania,-16,167,60
Venezuela,19.8,4.8,VEN,America,8,-66,102
Vietnam,15.5,5.8,VNM,Asia,16,106,127
West Bank,32.72,3.53,PS,Asia,31.815514,34.77927,42
Western Sahara,31.18,8.64,ESH,Africa,25.306878,-13.188382,45
Yemen,31.1,6.7,YEM,Asia,15,48,47
Zambia,42.8,9.7,ZMB,Africa,-15,30,9
Zimbabwe,31.3,9.8,ZWE,Africa,-20,30,44
